==============================================================================
CONTRAST 1 — SDLC: with-sg-fixed vs mcn7 with-sourcegraph
==============================================================================
| task | metric | with-sg-fixed | with-sg(mcn7) | delta |
|------|--------|---------------|---------------|-------|
| ba1f3675 | reward (mean) | 0.0000 | 0.5403 | -0.5403 |
| ba1f3675 | wall-clock (mean/trial) | 1173s | 1444s | -271s |
| ba1f3675 | cost (total over 3) | $11.37 | $15.06 | $-3.69 |
| ba1f3675 | input tokens (total) | 4788 | 17045 | -12257 |
| ba1f3675 | output tokens (total) | 204463 | 264598 | -60135 |
| ba1f3675 | cache_read tokens (total) | 19345811 | 27793132 | -8447321 |
| d906ac3d | reward (mean) | 0.5643 | 0.6079 | -0.0436 |
| d906ac3d | wall-clock (mean/trial) | 968s | 1102s | -134s |
| d906ac3d | cost (total over 3) | $7.53 | $6.86 | $0.67 |
| d906ac3d | input tokens (total) | 153 | 90 | 63 |
| d906ac3d | output tokens (total) | 181671 | 205618 | -23947 |
| d906ac3d | cache_read tokens (total) | 10130273 | 7130015 | 3000258 |
| 0d4ec3ad | reward (mean) | 0.0000 | 0.8000 | -0.8000 |
| 0d4ec3ad | wall-clock (mean/trial) | 855s | 2311s | -1456s |
| 0d4ec3ad | cost (total over 3) | $8.88 | $19.84 | $-10.96 |
| 0d4ec3ad | input tokens (total) | 318 | 1501 | -1183 |
| 0d4ec3ad | output tokens (total) | 136958 | 396237 | -259279 |
| 0d4ec3ad | cache_read tokens (total) | 15856438 | 34906384 | -19049946 |
| 45b581b5 | reward (mean) | 0.0000 | 0.8000 | -0.8000 |
| 45b581b5 | wall-clock (mean/trial) | 1778s | 2334s | -556s |
| 45b581b5 | cost (total over 3) | $13.52 | $15.14 | $-1.61 |
| 45b581b5 | input tokens (total) | 10331 | 23343 | -13012 |
| 45b581b5 | output tokens (total) | 328091 | 406510 | -78419 |
| 45b581b5 | cache_read tokens (total) | 19840774 | 19923784 | -83010 |
| fde8e6e0 | reward (mean) | 0.2099 | 0.6846 | -0.4747 |
| fde8e6e0 | wall-clock (mean/trial) | 2042s | 2257s | -215s |
| fde8e6e0 | cost (total over 3) | $13.06 | $28.28 | $-15.22 |
| fde8e6e0 | input tokens (total) | 408 | 3068 | -2660 |
| fde8e6e0 | output tokens (total) | 400253 | 466490 | -66237 |
| fde8e6e0 | cache_read tokens (total) | 14907057 | 58634886 | -43727829 |

==============================================================================
CONTRAST 2 — SDLC: with-sg-fixed vs mcn7 baseline
==============================================================================
| task | metric | with-sg-fixed | baseline(mcn7) | delta |
|------|--------|---------------|----------------|-------|
| ba1f3675 | reward (mean) | 0.0000 | 0.5340 | -0.5340 |
| ba1f3675 | wall-clock (mean/trial) | 1173s | 1285s | -112s |
| ba1f3675 | cost (total over 3) | $11.37 | $18.48 | $-7.12 |
| ba1f3675 | input tokens (total) | 4788 | 256 | 4532 |
| ba1f3675 | output tokens (total) | 204463 | 121595 | 82868 |
| ba1f3675 | cache_read tokens (total) | 19345811 | 38802758 | -19456947 |
| d906ac3d | reward (mean) | 0.5643 | 0.6031 | -0.0388 |
| d906ac3d | wall-clock (mean/trial) | 968s | 626s | 342s |
| d906ac3d | cost (total over 3) | $7.53 | $4.57 | $2.96 |
| d906ac3d | input tokens (total) | 153 | 67 | 86 |
| d906ac3d | output tokens (total) | 181671 | 39697 | 141974 |
| d906ac3d | cache_read tokens (total) | 10130273 | 4787577 | 5342696 |
| 0d4ec3ad | reward (mean) | 0.0000 | 0.8000 | -0.8000 |
| 0d4ec3ad | wall-clock (mean/trial) | 855s | 1842s | -987s |
| 0d4ec3ad | cost (total over 3) | $8.88 | $26.17 | $-17.29 |
| 0d4ec3ad | input tokens (total) | 318 | 490 | -172 |
| 0d4ec3ad | output tokens (total) | 136958 | 224283 | -87325 |
| 0d4ec3ad | cache_read tokens (total) | 15856438 | 66353043 | -50496605 |
| 45b581b5 | reward (mean) | 0.0000 | 0.8000 | -0.8000 |
| 45b581b5 | wall-clock (mean/trial) | 1778s | 444s | 1334s |
| 45b581b5 | cost (total over 3) | $13.52 | $4.52 | $9.00 |
| 45b581b5 | input tokens (total) | 10331 | 98 | 10233 |
| 45b581b5 | output tokens (total) | 328091 | 49627 | 278464 |
| 45b581b5 | cache_read tokens (total) | 19840774 | 6833748 | 13007026 |
| fde8e6e0 | reward (mean) | 0.2099 | 0.6784 | -0.4685 |
| fde8e6e0 | wall-clock (mean/trial) | 2042s | 1393s | 648s |
| fde8e6e0 | cost (total over 3) | $13.06 | $15.37 | $-2.31 |
| fde8e6e0 | input tokens (total) | 408 | 336 | 72 |
| fde8e6e0 | output tokens (total) | 400253 | 165543 | 234710 |
